2025,11.4582,778.0342,280.8268,595.1673,0.7553,,823.8943125,604.8856621,747.1454062999999,3.164167957,845.9865501,46.93299999999999,601.166,631.207,1543.651,31.551666665,20.383999999999997,520.038,125.73400000000001,1055.2145,11.472999999999999,28.30609961,739.715,520.2753438,1281.301375,2.039455098,2344.82175,26.9582168,626.18975,466.6292813,1085.411375,1.25470753,2430.46625,26.38668555,591.4815,451.0869688,1013.767125,0.8911300809999999,2341.47325,26.38667969,591.4824375,451.0810938,1013.701,0.891106471,2341.509,26.38667969,591.4824375,451.0810938,1013.701,0.891106471,2341.509,75.602,1.9021,1.9021,1003.6981380000001,1082.205422,1961.0615280000002,358.8053065,788.6550196000001,12.11595,731.31295,988.32915,2051.2732,2.8263,12.2555,796.3335500000001,838.29715,1779.38265,55.11744999999999,120.76116440499999,301.84533020000003,450.94612055,1047.8399806500001,259.57233786,94.56248058,848.2002003,346.33515595,712.70858385,453.69376771000003,98.72420325000002,983.2051495000001,390.50114529999996,822.6000475,917.0251117500001,452.26090625,345.90289889999997,508.54586329999995,524.9370557350001,1376.836151,16.836000000000002,543.0065,831.5735000000001,1244.2725,263.76716665000004,1793.9590295000003,25.457,636.6755,749.174,1418.2269999999999,33.707666665,1360.2235309999999,26.77,551.9,1491.6499999999999,1822.3000000000002,212.0299,26.225,644.3,1740.9499999999998,1843.35,500.154,23.784999999999997,656.25,347.95,888.35,295.084,922.8682876999999,3861.2682677499997,1011.71715165,670.8417990999999,995.5550405500001,3862.77474055,1012.1498072,651.386538255,12.0869,698.8275,1155.7048,0.0,860.5313125,564.8184531,699.7552266,0.211641775,1327.730835,29.36073351,606.4961014,778.0302588000001,1320.4687273499999,76.66338685,1005.6754769499998,25.91270447,533.5407104,907.0247191999999,1407.098389,1.942064166,420.083,1101.639,79.2739,699.2450094999999,700.5955746000001,916.4256887,170.1087419,537.3632853999999,725.9597649,887.4209779999999,954.3437316,170.1089986,542.4611643999999
2026,11.68482,809.62116,505.56646,1024.1769199999999,13.440800000000001,,825.2298125,606.51958124,737.4302234799999,44.12146252560001,874.0396639200001,53.37539999999999,623.1804,740.0532,1703.0018,37.861999998,21.516599999999997,525.8413999999999,133.498,1116.948,13.7676,29.833573438000002,792.2464126,624.47290004,1535.7341000000001,1.9009780962,2563.4173,28.384307816,673.8231125,530.90966254,1311.1813499999998,1.2261578168,2616.7681,27.322536722,630.8006,498.58105004000004,1212.34555,0.8405569253999999,2366.0702,27.321157424000003,630.7974499999999,498.56100004,1212.1728,0.8405164746,2366.12815,27.321157424000003,630.7974499999999,498.56100004,1212.1728,0.8405164746,2366.12815,150.60156,3.45526,3.45526,1079.8448504,1216.0155704000001,2105.3866662,464.13248039999996,851.87864468,12.34282,761.02122,1163.4552999999999,2377.64426,3.39156,12.48448,827.62228,995.2762200000001,2093.254,66.14094,132.37468986399998,299.1368005,499.76570503999994,1152.61503412,302.40776928800005,101.106532624,919.8061098400001,377.13424396,780.0153298800001,532.6644092480001,105.97531796000001,1080.6329560000001,429.81147079999994,910.5190817999999,1088.4563911999999,452.3001875,357.67716129999997,512.28320314,620.264441188,1427.9547534,17.2592,549.5032,940.7162000000002,1350.2766,316.52059998000004,1899.5878006000003,27.604200000000002,661.894,847.1705999999999,1571.1385999999998,40.449199998,1434.3687114,28.646,567.0,1703.5199999999998,2002.6399999999999,254.42391999999998,28.387999999999998,672.1600000000001,2003.96,2037.68,600.1232,25.68,691.12,363.64,963.0799999999999,354.06719999999996,968.17135316,4594.7704164,1085.52752992,784.4713090800001,1055.53350844,4593.88193444,1086.0204235600002,764.2699916040001,12.34764,724.37478,1515.47744,0.0,862.180525,569.0573894400001,694.70437816,67.7116893,1328.1782076000002,33.040614702,642.7322571,883.9767300400001,1437.34268808,91.99606422,1091.4365321599998,27.29962082,623.66892086,1080.37636716,1569.8764652,2.070983219,435.02518000000003,1274.906,152.95808,735.8863568799999,789.38543528,987.76214116,247.94842832,579.8248177599999,797.4744391199999,984.6846861999999,1025.22738468,253.14051122,585.1691423
2027,11.91144,841.20812,730.30612,1453.18654,26.1263,,826.5653125,608.15350038,727.7150406599999,85.07875709420001,902.09277774,59.81779999999999,645.1948,848.8994,1862.3526000000002,44.172333331,22.649199999999997,531.6447999999999,141.262,1178.6815000000001,16.0622,31.361047266,844.7778252,728.6704562799999,1790.166825,1.7625010944,2782.01285,29.810398832,721.456475,595.19004378,1536.951325,1.1976081036,2803.06995,28.258387894,670.1197,546.07513128,1410.923975,0.7899837698,2390.66715,28.255635158,670.1124625,546.0409062800001,1410.6446,0.7899264782,2390.7473,28.255635158,670.1124625,546.0409062800001,1410.6446,0.7899264782,2390.7473,225.60112,5.008419999999999,5.008419999999999,1155.9915628,1349.8257188,2249.7118044,569.4596542999999,915.10226976,12.56969,790.7294899999999,1338.58145,2704.01532,3.95682,12.71346,858.91101,1152.25529,2407.1253500000003,77.16443,143.988215323,296.4282708,548.58528953,1257.39008759,345.24320071600005,107.650584668,991.4120193800001,407.93333197000004,847.32207591,611.6350507860001,113.22643267000001,1178.0607625,469.1217963,998.4381160999999,1259.88767065,452.33946875,369.45142369999996,516.02054298,715.591826641,1479.0733558000002,17.6824,555.9999,1049.8589000000002,1456.2806999999998,369.27403331000005,2005.2165717000003,29.751400000000004,687.1125,945.1671999999999,1724.0502000000001,47.190733331,1508.5138917999998,30.522,582.1,1915.3899999999999,2182.98,296.81793999999996,30.551,700.02,2266.97,2232.01,700.0924,27.574999999999996,725.99,379.33,1037.81,413.05039999999997,1013.4744186199999,5328.27256505,1159.33790819,898.10081906,1115.5119763300002,5324.989128329999,1159.8910399200001,877.1534449530001,12.60838,749.92206,1875.2500799999998,0.0,863.8297375,573.29632578,689.65352972,135.211736825,1328.6255802,36.720495893999995,678.9684128,989.9232012800001,1554.21664881,107.32874158999999,1177.1975873699998,28.68653717,713.7971313200001,1253.7280151199998,1732.6545414,2.199902272,449.96736000000004,1448.1729999999998,226.64226,772.52770426,878.1752959600001,1059.09859362,325.78811473999997,622.28635012,868.98911334,1081.9483943999999,1096.11103776,336.17202384,627.8771201999999
2028,12.13806,872.79508,955.0457800000001,1882.19616,38.8118,,827.9008124999999,609.78741952,717.99985784,126.03605166280002,930.14589156,66.2602,667.2092,957.7456,2021.7034,50.482666664,23.781799999999997,537.4481999999999,149.026,1240.415,18.3568,32.888521094,897.3092378,832.86801252,2044.5995500000001,1.6240240926,3000.6084,31.236489847999998,769.0898374999999,659.47042502,1762.7213,1.1690583904,2989.3718,29.194239066,709.4388,593.5692125200001,1609.5023999999999,0.7394106141999999,2415.2641,29.190112892000002,709.427475,593.52081252,1609.1163999999999,0.7393364818,2415.36645,29.190112892000002,709.427475,593.52081252,1609.1163999999999,0.7393364818,2415.36645,300.60068,6.561579999999999,6.561579999999999,1232.1382752,1483.6358672000001,2394.0369425999997,674.7868282,978.3258948399999,12.79656,820.43776,1513.7076,3030.38638,4.52208,12.94244,890.19974,1309.2343600000002,2720.9967,88.18791999999999,155.60174078199998,293.7197411,597.40487402,1362.16514106,388.07863214400004,114.194636712,1063.01792892,438.73241998000003,914.6288219400001,690.6056923240001,120.47754738,1275.488569,508.4321218,1086.3571504,1431.3189501,452.37875,381.22568609999996,519.75788282,810.919212094,1530.1919582,18.105600000000003,562.4966000000001,1159.0016,1562.2848,422.02746664000006,2110.8453428000003,31.898600000000002,712.331,1043.1637999999998,1876.9618,53.932266664,1582.6590721999999,32.397999999999996,597.1999999999999,2127.2599999999998,2363.32,339.21196,32.714,727.88,2529.98,2426.34,800.0616,29.47,760.86,395.02,1112.54,472.0336,1058.77748408,6061.7747137,1233.14828646,1011.73032904,1175.49044422,6056.09632222,1233.7616562800001,990.036898302,12.869119999999999,775.46934,2235.02272,0.0,865.47895,577.53526212,684.60268128,202.71178435,1329.0729528000002,40.400377086,715.2045685,1095.86967252,1671.09060954,122.66141895999999,1262.9586425799998,30.07345352,803.92534178,1427.0796630799998,1895.4326176,2.328821325,464.90954,1621.4399999999998,300.32644,809.1690516399999,966.96515664,1130.4350460800001,403.62780116,664.7478824799999,940.50378756,1179.2121026,1166.99469084,419.20353646,670.5850981
2029,12.36468,904.38204,1179.78544,2311.20578,51.4973,,829.2363124999999,611.42133866,708.28467502,166.9933462314,958.1990053799999,72.70259999999999,689.2236,1066.5918,2181.0542,56.792999997,24.914399999999997,543.2515999999999,156.79000000000002,1302.1485000000002,20.6514,34.415994922,949.8406504,937.0655687599999,2299.032275,1.4855470908,3219.20395,32.662580864,816.7232,723.75080626,1988.4912749999999,1.1405086772,3175.6736499999997,30.130090238,748.7579000000001,641.06329376,1808.080825,0.6888374585999999,2439.86105,30.124590626,748.7424874999999,641.00071876,1807.5882,0.6887464854,2439.9856,30.124590626,748.7424874999999,641.00071876,1807.5882,0.6887464854,2439.9856,375.60024,8.11474,8.11474,1308.2849876,1617.4460156,2538.3620808,780.1140020999999,1041.54951992,13.02343,850.1460299999999,1688.83375,3356.75744,5.08734,13.17142,921.48847,1466.2134300000002,3034.86805,99.21140999999999,167.215266241,291.0112114,646.22445851,1466.94019453,430.91406357200003,120.73868875599999,1134.6238384600001,469.53150799,981.93556797,769.5763338620001,127.72866209,1372.9163755,547.7424473,1174.2761847,1602.7502295499999,452.41803125,392.99994849999996,523.49522266,906.2465975470001,1581.3105606,18.5288,568.9933,1268.1443000000002,1668.2889,474.78089997000006,2216.4741139000002,34.04580000000001,737.5495000000001,1141.1603999999998,2029.8734,60.673799996999996,1656.8042526,34.274,612.3,2339.1299999999997,2543.66,381.60598,34.876999999999995,755.74,2792.9900000000002,2620.67,900.0308,31.364999999999995,795.73,410.71,1187.27,531.0168,1104.08054954,6795.27686235,1306.95866473,1125.35983902,1235.46891211,6787.20351611,1307.63227264,1102.9203516510001,13.129859999999999,801.01662,2594.79536,0.0,867.1281625,581.7741984599999,679.55183284,270.211831875,1329.5203254,44.080258277999995,751.4407242,1201.8161437600002,1787.96457027,137.99409633,1348.7196977899998,31.46036987,894.05355224,1600.4313110399999,2058.2106937999997,2.4577403779999996,479.85172,1794.7069999999999,374.01062,845.81039902,1055.75501732,1201.77149854,481.46748758,707.2094148399999,1012.01846178,1276.4758108,1237.8783439200001,502.23504908,713.2930759999999
2030,12.5913,935.9689999999999,1404.5251,2740.2154,64.1828,,830.5718125,613.0552577999999,698.5694922,207.9506408,986.2521191999999,79.145,711.238,1175.438,2340.405,63.10333333,26.046999999999997,549.055,164.554,1363.882,22.945999999999998,35.94346875,1002.372063,1041.263125,2553.465,1.347070089,3437.7995,34.08867188,864.3565625,788.0311875,2214.26125,1.111958964,3361.9755,31.06594141,788.077,688.557375,2006.65925,0.6382643029999999,2464.458,31.05906836,788.0575,688.480625,2006.06,0.638156489,2464.60475,31.05906836,788.0575,688.480625,2006.06,0.638156489,2464.60475,450.5998,9.6679,9.6679,1384.4317,1751.2561640000001,2682.687219,885.4411759999999,1104.7731449999999,13.2503,879.8543,1863.9599,3683.1285,5.6526,13.4004,952.7772,1623.1925,3348.7394,110.2349,178.82879169999998,288.3026817,695.044043,1571.715248,473.749495,127.2827408,1206.229748,500.330596,1049.242314,848.5469754000001,134.97977680000002,1470.344182,587.0527728,1262.195219,1774.181509,452.4573125,404.77421089999996,527.2325625,1001.573983,1632.429163,18.952,575.49,1377.287,1774.293,527.5343333000001,2322.1028850000002,36.193000000000005,762.768,1239.157,2182.785,67.41533333,1730.9494329999998,36.15,627.4,2551.0,2724.0,424.0,37.04,783.6,3056.0,2815.0,1000.0,33.26,830.6,426.4,1262.0,590.0,1149.383615,7528.779011,1380.769043,1238.989349,1295.44738,7518.31071,1381.502889,1215.803805,13.3906,826.5639,2954.5679999999998,0.0,868.777375,586.0131347999999,674.5009844,337.7118794,1329.9676980000002,47.76013947,787.6768799,1307.762615,1904.8385309999999,153.3267737,1434.4807529999998,32.84728622,984.1817627,1773.782959,2220.98877,2.5866594309999997,494.7939,1967.974,447.6948,882.4517463999999,1144.544878,1273.107951,559.307174,749.6709472,1083.533136,1373.739519,1308.761997,585.2665617,756.0010539
2031,12.829460000000001,961.43662,1790.01584,3340.82034,175.51605999999998,,826.6896125,616.9605452999999,685.85593438,739.39160504,1047.5606103599998,87.3882,760.9826,1321.8670000000002,2602.4323000000004,95.440033327,35.9631,580.1904,291.87739999999997,1517.2582,35.6631,36.608482032,1006.586138,1196.976125,2905.6909,75.21807973119999,3670.6057,34.916096098,888.7656375,897.2903,2457.7196,64.0978479912,3609.2046,32.032737504,814.907975,900.9179999999999,2461.7989,66.84347312239998,2706.6836,32.026414844,815.0436,900.838825,2443.9752,75.8226623312,2704.81625,31.990019532,824.4649375,794.55965,2260.291,46.246914931199996,2718.5639499999997,658.40684,101.02762000000001,69.61496000000001,1394.4845154,1895.6017704,2847.6661154,1054.5749058,1181.8252886,13.532549999999999,893.62123,2150.91766,4087.92217,55.800039999999996,13.65763,962.2668,1925.5906,3770.24454,295.601,191.0949413,285.74322784,816.508286,1725.2435917999999,530.3287238,130.11831931,1351.7632272,567.9455808,1158.2230011000001,1325.5465980600002,137.29754817000003,1619.0895679,682.20357522,1379.0293990999999,2401.9767314,444.5069625,657.71027731,623.46733755,1256.2047201999999,1637.5976605,22.1617,587.923,1582.9589,1933.6383999999998,668.2701666700001,2409.7578270000004,43.7792,811.3327,1369.7359,2436.326,97.023299997,1787.0666833999999,36.646,643.41,3092.0,2984.0,760.6,37.427,816.04,3770.4,3122.4,1709.0,34.21,910.24,563.06,1504.6,1191.0,1143.6344204,7784.1108809,1571.4037825,1409.637105,1292.7927581000001,7676.1388855,1573.2890628,1385.9457629,13.76136,837.15516,3403.5114799999997,51.55123999999999,865.3810375,580.5846156599999,656.05654064,763.79581472,1415.0766954,56.715502173000004,839.14583131,1459.9400029,2099.0259029,228.68060724,1499.1127166999997,33.509201046,1057.35366216,1963.3354003999998,2334.281641,33.77302932480001,514.35772,2203.5135999999998,646.14324,864.4385867799999,1295.3042593999999,1364.1642664,692.3073678000001,811.15147096,1056.14466816,1570.2478899999999,1408.3728534,721.97032556,818.3941065199999
2032,13.06762,986.90424,2175.50658,3941.42528,286.84932,,822.8074124999999,620.8658327999999,673.14237656,1270.83256928,1108.86910152,95.6314,810.7272,1468.296,2864.4596,127.77673332399999,45.8792,611.3258,419.20079999999996,1670.6344000000001,48.3802,37.273495314,1010.800213,1352.6891249999999,3257.9168,149.0890893734,3903.4119,35.743520316,913.1747125,1006.5494125,2701.17795,127.0837370184,3856.4337,32.999533598,841.7389499999999,1113.278625,2916.93855,133.04868194179997,2948.9092,32.993761328000005,842.0297,1113.1970250000002,2881.8903999999998,151.0071681734,2945.0277499999997,32.920970704,860.872375,900.6386749999999,2514.522,91.85567337339998,2972.52315,866.21388,192.38734000000002,129.56202000000002,1404.5373308,2039.9473768,3012.6450118,1223.7086356,1258.8774322,13.8148,907.38816,2437.8754200000003,4492.71584,105.94747999999998,13.91486,971.7564,2227.9887,4191.74968,480.9671,203.3610909,283.18377398,937.9725289999999,1878.7719356,586.9079526,132.95389782,1497.2967064,635.5605656,1267.2036882000002,1802.54622072,139.61531954000003,1767.8349538,777.3543776399999,1495.8635792,3029.7719538,436.5566125,910.64634372,719.7021126,1510.8354574,1642.766158,25.3714,600.356,1788.6308,2092.9838,809.0060000400001,2497.412769,51.36540000000001,859.8974000000001,1500.3147999999999,2689.8669999999997,126.631266664,1843.1839337999997,37.141999999999996,659.42,3633.0,3244.0,1097.2,37.814,848.48,4484.8,3429.8,2418.0,35.16,989.88,699.72,1747.2,1792.0,1137.8852258,8039.4427508,1762.038522,1580.2848609999999,1290.1381362,7833.967060999999,1765.0752366000002,1556.0877208,14.13212,847.7464200000001,3852.45496,103.10247999999999,861.9847,575.1560965199999,637.61209688,1189.87975004,1500.1856928000002,65.670864876,890.61478272,1612.1173908,2293.2132748,304.03444078,1563.7446803999999,34.171115872,1130.52556162,2152.8878418,2447.574512,64.95939921860001,533.92154,2439.0532,844.59168,846.4254271599999,1446.0636408,1455.2205818,825.3075616,872.63199472,1028.75620032,1766.756261,1507.9837098,858.6740894200001,880.78715914
2033,13.30578,1012.37186,2560.99732,4542.03022,398.18258,,818.9252125,624.7711203,660.42881874,1802.2735335199998,1170.1775926799999,103.87459999999999,860.4718,1614.7250000000001,3126.4869,160.113433321,55.7953,642.4612,546.5241999999998,1824.0106,61.097300000000004,37.938508596,1015.0142880000001,1508.402125,3610.1427000000003,222.96009901559998,4136.2181,36.570944534,937.5837875,1115.808525,2944.6363,190.0696260456,4103.6628,33.966329692,868.569925,1325.6392499999997,3372.0782,199.25389076119995,3191.1348,33.961107812,869.0158,1325.555225,3319.8055999999997,226.1916740156,3185.2392499999996,33.851921876,897.2798124999999,1006.7176999999999,2768.753,137.4644318156,3226.4823499999998,1074.02092,283.74706,189.50908,1414.5901462,2184.2929832,3177.6239081999997,1392.8423654,1335.9295758,14.09705,921.15509,2724.8331800000005,4897.50951,156.09492,14.172089999999999,981.246,2530.3868,4613.25482,666.3332000000001,215.62724049999997,280.62432012,1059.436772,2032.3002794,643.4871814,135.78947633,1642.8301855999998,703.1755504,1376.1843753000003,2279.54584338,141.93309091,1916.5803397,872.50518006,1612.6977593,3657.5671761999997,428.6062625,1163.58241013,815.93688765,1765.4661945999999,1647.9346555,28.5811,612.789,1994.3027,2252.3292,949.74183341,2585.067711,58.951600000000006,908.4621,1630.8937,2943.408,156.23923333099998,1899.3011841999999,37.638,675.43,4174.0,3504.0,1433.8000000000002,38.201,880.9200000000001,5199.2,3737.2,3127.0,36.11,1069.52,836.38,1989.8,2393.0,1132.1360312,8294.7746207,1952.6732615,1750.932617,1287.4835143,7991.7952365,1956.8614104,1726.2296787,14.502880000000001,858.33768,4301.39844,154.65371999999996,858.5883625,569.72757738,619.1676531200001,1615.9636853600002,1585.2946902,74.626227579,942.08373413,1764.2947787,2487.4006467,379.38827432000005,1628.3766440999998,34.833030698,1203.69746108,2342.4402831999996,2560.867383,96.14576911240003,553.48536,2674.5928,1043.0401200000001,828.4122675399999,1596.8230222,1546.2768972000001,958.3077553999999,934.1125184800001,1001.3677324800001,1963.264632,1607.5945662,995.3778532800002,943.1802117599999
2034,13.54394,1037.83948,2946.4880599999997,5142.63516,509.51583999999997,,815.0430125,628.6764078,647.71526092,2333.71449776,1231.48608384,112.11779999999999,910.2164,1761.154,3388.5142,192.45013331799998,65.7114,673.5966,673.8475999999998,1977.3868000000002,73.8144,38.603521878,1019.2283630000001,1664.115125,3962.3686000000002,296.8311086578,4369.0243,37.398368752,961.9928625,1225.0676374999998,3188.09465,253.0555150728,4350.8919000000005,34.933125786,895.4009,1537.999875,3827.21785,265.45909958059997,3433.3603999999996,34.928454296,896.0019000000001,1537.9134250000002,3757.7207999999996,301.37617985779997,3425.45075,34.782873048,933.68725,1112.796725,3022.9840000000004,183.07319025779998,3480.4415499999996,1281.82796,375.10678,249.45614000000003,1424.6429616,2328.6385896,3342.6028045999997,1561.9760952000001,1412.9817194000002,14.3793,934.92202,3011.7909400000003,5302.30318,206.24236,14.429319999999999,990.7356,2832.7849,5034.75996,851.6993000000001,227.89339009999998,278.06486626,1180.901015,2185.8286232,700.0664102,138.62505484000002,1788.3636648,770.7905352,1485.1650624000001,2756.54546604,144.25086228,2065.3257256,967.65598248,1729.5319393999998,4285.3623986,420.6559125,1416.51847654,912.1716627000001,2020.0969317999998,1653.103153,31.790799999999997,625.222,2199.9746,2411.6746000000003,1090.4776667800002,2672.7226530000003,66.5378,957.0268,1761.4726,3196.9489999999996,185.847199998,1955.4184345999997,38.134,691.4399999999999,4715.0,3764.0,1770.4,38.588,913.36,5913.6,4044.6,3836.0,37.059999999999995,1149.16,973.04,2232.4,2994.0,1126.3868366,8550.1064906,2143.308001,1921.5803729999998,1284.8288924,8149.623412,2148.6475842,1896.3716365999999,14.87364,868.92894,4750.34192,206.20495999999997,855.192025,564.2990582399999,600.72320936,2042.0476206800001,1670.4036876,83.58159028200001,993.55268554,1916.4721666,2681.5880186,454.74210786000003,1693.0086078,35.494945524,1276.86936054,2531.9927245999997,2674.160254,127.33213900620004,573.0491800000001,2910.1324,1241.4885600000002,810.3991079199999,1747.5824036,1637.3332126,1091.3079492,995.59304224,973.97926464,2159.773003,1707.2054226,1132.0816171400002,1005.57326438
2035,13.7821,1063.3071,3331.9788,5743.2401,620.8491,,811.1608125,632.5816953,635.0017031,2865.155462,1292.794575,120.36099999999999,959.961,1907.583,3650.5415000000003,224.78683331499997,75.6275,704.732,801.1709999999998,2130.763,86.53150000000001,39.26853516,1023.442438,1819.828125,4314.5945,370.7021183,4601.8305,38.22579297,986.4019375,1334.32675,3431.553,316.0414041,4598.121,35.89992188,922.231875,1750.3605,4282.3575,331.6643084,3675.586,35.89580078,922.988,1750.271625,4195.6359999999995,376.56068569999996,3665.66225,35.71382422,970.0946875,1218.87575,3277.215,228.68194869999996,3734.40075,1489.635,466.4665,309.4032,1434.695777,2472.984196,3507.5817009999996,1731.109825,1490.033863,14.66155,948.68895,3298.7487,5707.09685,256.3898,14.68655,1000.2252,3135.183,5456.2651000000005,1037.0654,240.15953969999998,275.50541239999995,1302.3652579999998,2339.3569669999997,756.645639,141.46063335000002,1933.897144,838.40552,1594.1457495000002,3233.5450887,146.56863365,2214.0711115,1062.8067849,1846.3661195,4913.157621,412.70556250000004,1669.45454295,1008.4064377500001,2274.727669,1658.2716504999999,35.0005,637.655,2405.6465,2571.02,1231.21350015,2760.377595,74.124,1005.5915,1892.0515,3450.49,215.45516666499998,2011.5356849999998,38.629999999999995,707.45,5256.0,4024.0,2107.0,38.974999999999994,945.8,6628.0,4352.0,4545.0,38.01,1228.8,1109.6999999999998,2475.0,3595.0,1120.637642,8805.4383605,2333.9427405,2092.228129,1282.1742705000001,8307.4515875,2340.433758,2066.5135945,15.2444,879.5202,5199.2854,257.7562,851.7956875,558.8705391,582.2787656,2468.131556,1755.5126850000001,92.53695298500001,1045.02163695,2068.6495545,2875.7753905,530.0959414,1757.6405714999999,36.15686035,1350.04126,2721.545166,2787.453125,158.51850890000003,592.613,3145.672,1439.9370000000001,792.3859482999999,1898.341785,1728.3895280000002,1224.308143,1057.073566,946.5907968,2356.2813739999997,1806.816279,1268.7853810000001,1067.966317
2036,14.03636,1071.7243,3737.68054,6192.99352,936.4106200000001,,828.6483875,669.43880858,652.3555437399999,3689.6903366,1284.8484554,128.6042,1009.7056,2054.012,3912.5688,257.12353331199995,85.5436,735.8674,928.4943999999997,2284.1392,99.24860000000001,39.937446096,1017.5383254000001,1979.4427,4681.4809000000005,654.03120984,4577.8112,38.987990626,982.851675,1477.828675,3717.1973,616.90333588,4582.5218,36.61294766,917.469625,1999.81395,4667.0358,480.47653972,3845.0416999999998,36.72299375,917.5495000000001,1984.4260000000002,4567.9351,551.63359836,3831.2147,36.679850002,969.1626249999999,1409.8035499999999,3597.3138,527.31372536,3896.8507,1862.4941999999999,856.22798,551.92616,1414.0819285999999,2645.3577536,3813.1059029999997,1951.0071566,1567.2967964000002,14.9438,962.45588,3585.7064600000003,6111.89052,306.53724,14.94378,1009.7148,3437.5811000000003,5877.77024,1222.4315000000001,252.4256893,272.94595854,1423.8295009999997,2492.8853108,813.2248678,144.29621186000003,2079.4306232,906.0205048,1703.1264366000003,3710.54471136,148.88640502,2362.8164974,1157.9575873200001,1963.2002995999999,5540.952843399999,404.7552125,1922.3906093600003,1104.6412128000002,2529.3584062,1663.440148,38.2102,650.088,2611.3184,2730.3654,1371.94933352,2848.032537,81.71020000000001,1054.1562,2022.6304,3704.031,245.063133332,2067.6529354,39.126,723.46,5797.0,4284.0,2443.6000000000004,39.361999999999995,978.24,7342.4,4659.4,5254.0,38.959999999999994,1308.44,1246.3600000000001,2717.6,4196.0,1114.8884474,9060.7702304,2524.57748,2262.875885,1279.5196486,8465.279763,2532.2199318000003,2236.6555524,15.5022,885.06474,5465.36258,549.58606,870.1281125,603.7758391,594.7675531,3293.0672236,1775.4093572000002,101.49231568800002,1096.49058836,2220.8269424,3069.9627624,605.44977494,1822.2725351999998,36.74828491,1411.1270266,2866.0674804,2865.5343262,280.34155272000004,611.4592200000001,3374.8724,1788.7024000000001,774.5639458399999,2092.33059,1907.1572108,1391.0093762,1123.9145788,919.49055618,2543.6823667999997,1995.6639559999999,1448.5320564,1135.0077982
2037,14.29062,1080.1415,4143.38228,6642.74694,1251.97214,,846.1359625,706.29592186,669.70938438,4514.225211200001,1276.9023358,136.8474,1059.4502,2200.441,4174.5961,289.460233309,95.4597,767.0028,1055.8177999999998,2437.5154,111.96570000000001,40.606357032,1011.6342128,2139.057275,5048.3673,937.36030138,4553.7919,39.750188281999996,979.3014125,1621.3305999999998,4002.8416,917.76526766,4566.9226,37.32597344,912.707375,2249.2674,5051.7141,629.28877104,4014.4973999999997,37.55018672,912.111,2218.580375,4940.2342,726.70651102,3996.76715,37.645875784,968.2305625,1600.73135,3917.4126,825.94550202,4059.3006499999997,2235.3534,1245.98946,794.44912,1393.4680801999998,2817.7313111999997,4118.630105,2170.9044882,1644.5597298,15.22605,976.22281,3872.6642200000006,6516.68419,356.68467999999996,15.20101,1019.2044,3739.9792,6299.27538,1407.7976,264.6918389,270.38650468,1545.2937439999998,2646.4136546,869.8040965999999,147.13179037,2224.9641024,973.6354896,1812.1071237,4187.54433402,151.20417639000001,2511.5618833,1253.1083897400001,2080.0344797,6168.7480657999995,396.8048625,2175.3266757700003,1200.87598785,2783.9891433999996,1668.6086455,41.4199,662.5210000000001,2816.9903,2889.7108,1512.68516689,2935.687479,89.2964,1102.7209,2153.2093,3957.572,274.671099999,2123.7701858,39.622,739.47,6338.0,4544.0,2780.2000000000003,39.748999999999995,1010.6800000000001,8056.8,4966.799999999999,5963.0,39.91,1388.08,1383.02,2960.2,4797.0,1109.1392528,9316.1021003,2715.2122195,2433.5236409999998,1276.8650267,8623.1079385,2724.0061056,2406.7975103,15.76,890.60928,5731.43976,841.4159199999999,888.4605375,648.6811391,607.2563406,4118.0028912,1795.3060294000002,110.44767839100001,1147.95953977,2373.0043303,3264.1501343,680.8036084800001,1886.9044989,37.33970947,1472.2127931999999,3010.5897948,2943.6155274,402.16459654000005,630.3054400000001,3604.0728,2137.4678000000004,756.74194338,2286.319395,2085.9248936,1557.7106094,1190.7555916000001,892.3903155600001,2731.0833595999998,2184.511633,1628.2787318,1202.0492794
