2020,43907.5503,37233.8898,43338.0757,38682.7636,43736.3442,38995.4282,40326.8225,39376.5,39176.0,39059.0,39194.8,39144.6,37684.32868,41337.61975,41975.990789999996,38439.82943,38346.404630000005,35626.504239999995,35469.188480000004,34553.03028,34110.36621,35428.475589999995,35234.79395,34632.694339999995,34189.11361,33208.79948,39452.0,40495.547230000004,40499.3358,41037.408339999994,41037.408339999994,41037.408339999994,41037.408339999994,41037.408339999994,41037.408339999994,38093.86268,40931.32174,39615.22255,39563.51104,41831.62088,41831.40438,41831.40438,41831.40438,41831.40438,38551.99609,38511.03125,38513.40625,38434.63281,38497.25781,38510.71094,38513.08594,38513.08594,38513.08594,38496.94141,38496.94141,35426.13672,35563.01172,35468.60156,34451.27344,45171.8828,45171.8828,45171.8828,45912.1453,45912.1453,45912.1453,35200.0,42310.0,39700.0,41856.0778,44324.3213,44405.855,44275.8219,44855.7889,42685.568,43038.6211,42766.3727,42692.5806,36816.1206,32819.6706,31112.0643,37154.6856,37159.2558,36259.1658,39878.5567,40510.5923,37312.30711,39253.001489999995,37303.32932,40656.52654,40656.52654
2021,41283.68536,35416.25015,41018.12336,36816.70106,41527.16564,37248.5446,38542.98302,38902.16,38998.7,37321.08,39078.48,37183.58,35846.708162999996,40804.056100999995,41345.934447,36735.123766,36463.180996,34191.05974,34338.428942000006,33404.536464,32910.777896,34317.268266,34077.18145,33393.16048599999,32691.535582,31684.716358,38216.7,38302.373055000004,40548.319472,38508.105451999996,38512.874543,39618.705198999996,39640.93111,39200.031106999995,39553.892440999996,36624.892628,39201.502419,38036.122602999996,37228.541301,40623.85553,41477.637404,42018.882654,42017.677154,42017.677154,37803.571872,35697.454102,35816.401074,35046.8136696,35544.494529,36938.58633,36986.292385,36651.087892999996,36215.201467,36898.062308,36199.919828,34119.226954000005,34305.399611,34156.540427,33046.643165999994,43377.32624,44793.719619999996,44793.72024,43691.080239999996,44206.218239999995,43065.790239999995,34311.0,41190.0,39507.0,40195.8963,43026.45942,43201.8787,42916.920920000004,44783.49758,41100.0971,42639.857359999995,42053.88046,40057.30708,35124.33052,30423.334059999997,28688.30276,35471.805159999996,34982.16156,34445.87574,38684.96078,39058.64526,34637.077245,36601.722535999994,34107.225492,38158.612754,37575.643469999995
2022,38659.820420000004,33598.610499999995,38698.17102,34950.63852,39317.98708,35501.661,36759.143540000005,38427.82,38821.4,35583.16,38962.16,35222.56,34009.087646,40270.492452,40715.878103999996,35030.418102,34579.957362,32755.615239999996,33207.669404,32256.042648,31711.189582,33206.060942,32919.56895,32153.626631999996,31193.957554,30160.633236,36981.4,36109.19888,40597.303144,35978.802564,35988.340745999994,38200.002058,38244.453879999994,37362.653873999996,38070.376542,35155.922576,37471.683098,36457.022656,34893.571562,39416.09018,41123.870428,42206.360928,42203.949928,42203.949928,37055.147654,32883.876954,33119.395898,31658.9945292,32591.731248000004,35366.46172,35459.49883,34789.089845999995,33917.316994,35299.183206,33902.898246,32812.317188,33047.787502,32844.479294000004,31642.012892,41582.76968,44415.55644,44415.55768,41470.015179999995,42500.29118,40219.43518,33422.0,40070.0,39314.0,38535.7148,41728.59754,41997.9024,41558.019940000006,44711.20626,39514.6262,42241.09362,41341.38822,37422.03356,33432.540440000004,28026.997519999997,26264.54122,33788.924719999995,32805.06732,32632.58568,37491.36486,37606.69822,31961.84738,33950.44358199999,30911.121664,35660.698968,34494.7604
2023,36035.955480000004,31780.970849999998,36378.21868,33084.57598,37108.80852,33754.7774,34975.30406,37953.48,38644.1,33845.240000000005,38845.84,33261.54,32171.467128999997,39736.928803,40085.821761,33325.712438,32696.733728000003,31320.170739999998,32076.909866,31107.548832,30511.601268,32094.853617999997,31761.956449999998,30914.092778,29696.379525999997,28636.550113999998,35746.1,33916.024705,40646.286816,33449.499676,33463.806949,36781.29891699999,36847.97665,35525.276641,36586.86064299999,33686.952524,35741.863777,34877.922709,32558.601822999997,38208.324830000005,40770.103451999996,42393.839201999996,42390.222702,42390.222702,36306.723436,30070.299806000003,30422.390722,28271.175388800002,29638.967967,33794.33711,33932.705275,32927.091799,31619.432521,33700.304103999995,31605.876664,31505.407422,31790.175393,31532.418161,30237.382617999996,39788.21312,44037.39326,44037.39512,39248.950119999994,40794.36412,37373.08012,32533.0,38950.0,39121.0,36875.533299999996,40430.73566,40793.926100000004,40199.11896,44638.91494,37929.1553,41842.32988,40628.89598,34786.76004,31740.750360000002,25630.66098,23840.77968,32106.04428,30627.97308,30819.29562,36297.76894,36154.75118,29286.617515,31299.164628,27715.017836,33162.785182,31413.87733
2024,33412.090540000005,29963.331199999997,34058.26634,31218.51344,34899.629960000006,32007.8938,33191.46458,37479.14,38466.8,32107.32,38729.52,31300.52,30333.846611999998,39203.365154,39455.765417999995,31621.006774,30813.510094000005,29884.726239999996,30946.150328,29959.055016,29312.012953999998,30983.646294,30604.34395,29674.558923999997,28198.801497999997,27112.466992,34510.8,31722.850530000003,40695.270488,30920.196787999997,30939.273151999998,35362.595775999995,35451.49941999999,33687.899408,35103.344743999995,32217.982472,34012.044456,33298.822761999996,30223.632083999997,37000.55948,40416.336476,42581.317476,42576.495476000004,42576.495476000004,35558.299218,27256.722658,27725.385545999998,24883.3562484,26686.204686,32222.212499999998,32405.911719999996,31065.093751999997,29321.548047999997,32101.425002,29308.855082000002,30198.497656,30532.563284000003,30220.357028000002,28832.752344,37993.656559999996,43659.23008,43659.23256,37027.88506,39088.437060000004,34526.72506,31644.0,37830.0,38928.0,35215.3518,39132.87378,39589.9498,38840.21798,44566.62362,36343.6844,41443.56614,39916.40374,32151.48652,30048.96028,23234.32444,21417.01814,30423.16384,28450.878839999998,29006.005559999998,35104.17302,34702.80414,26611.38765,28647.885673999997,24518.914008,30664.871396000002,28332.99426
2025,30788.2256,28145.691549999996,31738.314,29352.4509,32690.4514,30261.0102,31407.6251,37004.8,38289.5,30369.4,38613.2,29339.5,28496.226094999998,38669.801504999996,38825.709075,29916.301110000004,28930.286460000003,28449.28174,29815.390789999998,28810.5612,28112.424639999997,29872.43897,29446.73145,28435.02507,26701.223469999997,25588.383869999998,33275.5,29529.676355000003,40744.25416,28390.8939,28414.739354999998,33943.892635,34055.022189999996,31850.522175,33619.828845,30749.01242,32282.225135,31719.722815,27888.662344999997,35792.79413,40062.5695,42768.79575,42762.76825,42762.76825,34809.875,24443.145510000002,25028.38037,21495.537108,23733.441405,30650.08789,30879.118165,29203.095705,27023.663575,30502.545899999997,27011.8335,28891.587890000003,29274.951175000002,28908.295895000003,27428.122069999998,36199.1,43281.0669,43281.07,34806.82,37382.51,31680.37,30755.0,36710.0,38735.0,33555.1703,37835.0119,38385.9735,37481.317,44494.3323,34758.2135,41044.8024,39203.9115,29516.213,28357.1702,20837.9879,18993.2566,28740.2834,26273.7846,27192.7155,33910.5771,33250.8571,23936.157785,25996.606719999996,21322.81018,28166.95761,25252.11119
2026,28845.80584,26328.0519,29418.36166,27802.9348,31279.48992,28153.89542,29271.549440000003,36250.62,36289.2,26983.32,35333.88,25754.06,26658.605578,38136.237856,38195.652732,28987.700588000003,28057.220900000004,27280.110645999997,28264.305568,27349.552444,26688.379394,28701.539816,28262.175393999998,27051.532296,25021.738314,24064.300747999998,32040.2,27336.502180000003,40793.237832,25861.591011999997,25890.205558,32525.189494,32658.544959999996,30013.144941999995,32136.312946,29280.042368,30552.405814,30140.622868,25553.692606,33511.960104,38651.599799999996,42139.887299999995,42130.6255,42130.6255,32667.889062,21629.568362,22331.375194,18107.7179676,20780.678124,29077.96328,29352.32461,27341.097658,24725.779102,28903.666798,24714.811918,27584.678124000002,28017.339066,27596.234762,26023.491796,33970.546,42812.766039999995,42812.768,32212.182,35247.984000000004,28642.466,29866.0,35590.0,38542.0,31758.246099999997,36162.358159999996,36789.56888,35745.80522,44180.07668,33023.013,40335.01622,38150.59176,26674.51824,26989.40198,19495.76496,17836.5387,27331.95458,24508.7355,26337.292559999998,33032.4195,32101.76334,21260.927920000002,23345.327766,20011.562958,26686.706038,23287.85716
2027,26903.38608,24510.412249999998,27098.40932,26253.4187,29868.528440000002,26046.78064,27135.47378,35496.44,34288.9,23597.24,32054.559999999998,22168.62,24820.985061,37602.674207000004,37565.596389,28059.100066000003,27184.15534,26110.939552,26713.220346,25888.543688,25264.334147999998,27530.640662,27077.619338,25668.039522,23342.253158,22540.217625999998,30804.9,25143.328005000003,40842.221504,23332.288124,23365.671761,31106.486353,31262.067729999995,28175.767708999996,30652.797047,27811.072315999998,28822.586493000003,28561.522921,23218.722867,31231.126078,37240.630099999995,41510.97885,41498.48275,41498.48275,30525.903124,18815.991214,19634.370017999998,14719.898827199999,17827.914843,27505.838669999997,27825.531055,25479.099610999998,22427.894629000002,27304.787696,22417.790336,26277.768358,26759.726957,26284.173629,24618.861522,31741.992,42344.46518,42344.466,29617.544,33113.458,25604.561999999998,28977.0,34470.0,38349.0,29961.3219,34489.70442,35193.16426,34010.29344,43865.82106,31287.8125,39625.23004,37097.272020000004,23832.82348,25621.63376,18153.54202,16679.8208,25923.62576,22743.6864,25481.869619999998,32154.2619,30952.66958,18585.698055,20694.048812,18700.315736,25206.454466,21323.60313
2028,24960.96632,22692.772599999997,24778.45698,24703.9026,28457.56696,23939.66586,24999.39812,34742.26,32288.6,20211.16,28775.239999999998,18583.18,22983.364543999996,37069.110558,36935.540046,27130.499544000002,26311.089780000002,24941.768458,25162.135124,24427.534932000002,23840.288902,26359.741508,25893.063282,24284.546748,21662.768001999997,21016.134503999998,29569.6,22950.153830000003,40891.205176,20802.985236,20841.137964,29687.783212000002,29865.5905,26338.390475999997,29169.281148,26342.102264,27092.767172,26982.422974,20883.753128,28950.292052,35829.66039999999,40882.0704,40866.34,40866.34,28383.917186,16002.414066000001,16937.364842,11332.0796868,14875.151562,25933.71406,26298.7375,23617.101563999997,20130.010156,25705.908594,20120.768754,24970.858592,25502.114848,24972.112496,23214.231248,29513.438000000002,41876.164319999996,41876.164,27022.906,30978.932,22566.658,28088.0,33350.0,38156.0,28164.397699999998,32817.05068,33596.759640000004,32274.78166,43551.56544,29552.612,38915.44386,36043.95228,20991.12872,24253.86554,16811.31908,15523.1029,24515.29694,20978.637300000002,24626.44668,31276.104300000003,29803.57582,15910.46819,18042.769858,17389.068514,23726.202894000002,19359.3491
2029,23018.54656,20875.13295,22458.50464,23154.3865,27046.60548,21832.55108,22863.322460000003,33988.08,30288.3,16825.08,25495.92,14997.74,21145.744026999997,36535.546909,36305.483703,26201.899022,25438.02422,23772.597364,23611.049902,22966.526176,22416.243656,25188.842354,24708.507226,22901.053974000002,19983.282846,19492.051381999998,28334.300000000003,20756.979655000003,40940.188848,18273.682348000002,18316.604167,28269.080071,28469.113269999994,24501.013242999998,27685.765248999996,24873.132211999997,25362.947851000004,25403.323027,18548.783389,26669.458026,34418.6907,40253.16195,40234.19725,40234.19725,26241.931248,13188.836918,14240.359666,7944.260546400001,11922.388281,24361.58945,24771.943945,21755.103517,17832.125683000002,24107.029491999998,17823.747172,23663.948826,24244.502739000003,23660.051363,21809.600974,27284.884000000002,41407.86346,41407.862,24428.268,28844.406000000003,19528.754,27199.0,32230.0,37963.0,26367.4735,31144.39694,32000.355020000003,30539.26988,43237.30982,27817.4115,38205.657680000004,34990.63254,18149.433960000002,22886.09732,15469.09614,14366.385,23106.968119999998,19213.588200000002,23771.02374,30397.9467,28654.48206,13235.238324999998,15391.490903999998,16077.821291999999,22245.951322,17395.095070000003
2030,21076.1268,19057.4933,20138.5523,21604.8704,25635.644,19725.4363,20727.2468,33233.9,28288.0,13439.0,22216.6,11412.3,19308.123509999998,36001.98326,35675.42736,25273.2985,24564.95866,22603.42627,22059.96468,21505.51742,20992.19841,24017.9432,23523.95117,21517.5612,18303.79769,17967.968259999998,27099.0,18563.805480000003,40989.17252,15744.37946,15792.07037,26850.376930000002,27072.636039999998,22663.63601,26202.24935,23404.16216,23633.12853,23824.22308,16213.81365,24388.624,33007.721,39624.2535,39602.0545,39602.0545,24099.94531,10375.25977,11543.35449,4556.441406,8969.625,22789.46484,23245.15039,19893.10547,15534.24121,22508.15039,15526.72559,22357.03906,22986.89063,22347.99023,20404.9707,25056.33,40939.5626,40939.56,21833.63,26709.88,16490.85,26310.0,31110.0,37770.0,24570.5493,29471.7432,30403.9504,28803.7581,42923.0542,26082.211,37495.8715,33937.3128,15307.7392,21518.3291,14126.8732,13209.6671,21698.6393,17448.5391,22915.6008,29519.7891,27505.3883,10560.00846,12740.21195,14766.574069999999,20765.69975,15430.841040000001
2031,19394.156179999998,17974.675969999997,18947.01627,19958.17496,23478.71322,17513.07572,18451.74202,31430.960000000003,26546.0,11149.212,19846.18,9505.126,18435.299358999997,33355.3612781,32598.676480000002,23673.034828,23117.672332,21083.381852,19796.505028,19381.75544,19342.561316,22595.732718000003,22072.22617,20139.138918,16653.24196,16812.566054799998,26280.07,17652.2710976,38543.661802,14803.950839000001,14851.1685027,25922.079954,26115.509874,21663.995713,25250.671013,22557.131527999998,22422.228617,22645.706277,15379.7668712,22454.232426,31597.096149999998,35382.306626,35519.985199999996,37687.58685,22699.677342,9856.317630900001,11028.7171367,4465.5481199,8472.6178711,22071.764352000002,22524.512988,19072.160938999998,14687.5781242,21760.244238,14610.901029,20730.975144199998,21453.4579635,20711.440328099998,18777.2612277,23082.304,38344.07342,38636.29,19441.4376,24984.496,13684.963199999998,25320.0,28861.3,36207.0,22958.95162,28026.56668,28916.46726,27066.31238,40826.53816,24370.86322,35635.84078,32162.1412,13094.79072,20391.55888,12932.7443,12315.4776,20469.29872,16233.011080000002,22041.78316,28528.1719,26362.28184,10247.601112699998,12394.7891738,14103.492129999999,20182.446384,14520.732078000001
2032,17712.185559999998,16891.85864,17755.48024,18311.47952,21321.782440000003,15300.71514,16176.23724,29628.02,24804.0,8859.423999999999,17475.76,7597.951999999999,17562.475207999996,30708.7392962,29521.925600000002,22072.771156,21670.386004,19563.337434,17533.045376000002,17257.993459999998,17692.924222,21173.522236,20620.50117,18760.716636,15002.68623,15657.163849599998,25461.14,16740.7367152,36098.151084,13863.522218,13910.2666354,24993.782978000003,25158.383707999998,20664.355416,24299.092676,21710.100896,21211.328704,21467.189474,14545.7200924,20519.840852,30186.471299999997,31140.359752,31437.9159,35773.1192,21299.409374,9337.375491800001,10514.0797834,4374.6548338,7975.6107422000005,21354.063864,21803.875586,18251.216408,13840.9150384,21012.338086,13695.076468,19104.9112284,19920.025297,19074.8904262,17149.5517554,21108.278000000002,35748.58424,36333.02,17049.2452,23259.112,10879.0764,24330.0,26612.6,34644.0,21347.35394,26581.39016,27428.98412,25328.86666,38730.02212,22659.51544,33775.81006,30386.9696,10881.84224,19264.78866,11738.615399999999,11421.2881,19239.95814,15017.48306,21167.965519999998,27536.5547,25219.17538,9935.1937654,12049.3663976,13440.410189999999,19599.193017999998,13610.623116
2033,16030.21494,15809.041309999999,16563.94421,16664.784079999998,19164.85166,13088.354560000002,13900.73246,27825.08,23062.0,6569.636,15105.34,5690.778,16689.651057,28062.117314299998,26445.17472,20472.507484,20223.099675999998,18043.293016,15269.585724,15134.231479999999,16043.287128,19751.311754000002,19168.776169999997,17382.294353999998,13352.130500000001,14501.761644399998,24642.21,15829.202332800001,33652.640366,12923.093597,12969.3647681,24065.486002,24201.257542,19664.715119,23347.514339,20863.070264,20000.428791000002,20288.672671,13711.6733136,18585.449278,28775.846449999997,26898.412878000003,27355.846599999997,33858.65155,19899.141406,8818.4333527,9999.4424301,4283.7615477,7478.6036133,20636.363376,21083.238183999998,17430.271877,12994.2519526,20264.431934,12779.251907,17478.8473126,18386.592630500003,17438.3405243,15521.8422831,19134.252,33153.09506,34029.75,14657.0528,21533.728,8073.1896000000015,23340.0,24363.9,33081.0,19735.756260000002,25136.21364,25941.50098,23591.42094,36633.50608,20948.16766,31915.77934,28611.798,8668.893759999999,18138.01844,10544.486499999999,10527.098600000001,18010.61756,13801.95504,20294.147879999997,26544.9375,24076.068919999998,9622.7864181,11703.943621400002,12777.328249999999,19015.939652,12700.514154
2034,14348.24432,14726.223979999999,15372.408179999999,15018.08864,17007.92088,10875.993980000001,11625.22768,26022.14,21320.0,4279.848,12734.92,3783.6040000000003,15816.826905999998,25415.4953324,23368.42384,18872.243812,18775.813347999996,16523.248598,13006.126072,13010.4695,14393.650034,18329.101272,17717.05117,16003.872072,11701.574770000001,13346.359439199998,23823.28,14917.667950400002,31207.129648000002,11982.664976,12028.462900800001,23137.189026,23244.131375999998,18665.074822,22395.936002,20016.039632,18789.528878,19110.155868,12877.6265348,16651.057704,27365.2216,22656.466004,23273.777299999998,31944.1839,18498.873438,8299.4912136,9484.8050768,4192.8682616,6981.5964844,19918.662888,20362.600781999998,16609.327346,12147.5888668,19516.525782,11863.427346,15852.7833968,16853.159964000002,15801.7906224,13894.132810800002,17160.226000000002,30557.60588,31726.48,12264.8604,19808.343999999997,5267.302800000001,22350.0,22115.2,31518.0,18124.15858,23691.03712,24454.01784,21853.97522,34536.99004,19236.81988,30055.74862,26836.6264,6455.94528,17011.24822,9350.3576,9632.9091,16781.276980000002,12586.42702,19420.33024,25553.3203,22932.96246,9310.3790708,11358.5208452,12114.24631,18432.686286,11790.405192
2035,12666.2737,13643.406649999999,14180.87215,13371.3932,14850.9901,8663.6334,9349.7229,24219.2,19578.0,1990.06,10364.5,1876.43,14944.002754999998,22768.8733505,20291.67296,17271.98014,17328.527019999998,15003.20418,10742.66642,10886.70752,12744.01294,16906.89079,16265.326169999998,14625.44979,10051.019040000001,12190.957233999998,23004.35,14006.133568000001,28761.61893,11042.236355000001,11087.5610335,22208.892050000002,22287.00521,17665.434525,21444.357665,19169.009,17578.628965,17931.639065,12043.579756,14716.666130000001,25954.59675,18414.51913,19191.708,30029.71625,17098.60547,7780.549074500001,8970.167723499999,4101.9749755,6484.5893555,19200.9624,19641.96338,15788.382814999999,11300.925781,18768.61963,10947.602785,14226.719481,15319.727297500001,14165.2407205,12266.4233385,15186.2,27962.1167,29423.21,9872.668,18082.96,2461.416,21360.0,19866.5,29955.0,16512.5609,22245.8606,22966.5347,20116.5295,32440.474,17525.4721,28195.7179,25061.4548,4242.9968,15884.478000000001,8156.2287,8738.7196,15551.9364,11370.899,18546.5126,24561.7031,21789.856,8997.971723499999,11013.098069,11451.16437,17849.43292,10880.29623
2036,11222.57678,12560.58932,12989.33612,12056.1311,14871.00042,8171.035860000001,8830.17116,22695.600000000002,18095.0,625.482,8935.42,990.6580000000001,14071.178603999999,20122.2513686,17214.922079999997,15439.7724096,15434.831544599998,14012.02057,9508.343154,9432.9882776,11757.0746426,16021.410484000002,14889.2451484,13055.3046156,9022.837278,11035.5550288,22185.42,13094.5991856,26316.108212,10101.807734,10146.659166200001,21280.595074,21329.879044,16665.794228,20492.779328,18321.978368,16367.729052,16753.122262,11209.5329772,13486.070254000002,24771.34495,16121.0983916,17147.683125,27946.7987,16116.021289999999,7261.6069354,8455.5303702,4011.0816894,5987.5822266000005,18483.261912,18921.325978,14967.438284,10454.2626952,18020.713477999998,10031.778224,12600.655565199999,13786.294631,12528.6908186,10638.7138662,13781.3034,25066.2394,27075.298,8303.500399999999,16838.162,1461.5822000000003,20370.0,17617.800000000003,28392.0,15222.146340000001,21299.9996,21802.79602,18639.9005,29714.29802,16152.385119999999,25988.41644,23216.75726,2958.45914,14834.56924,7027.76636,8063.7842,14374.51296,10364.11,17493.22122,23527.81348,20695.06352,8685.5643762,10667.6752928,11043.3540118,17355.3861,10205.961954
2037,9778.879860000001,11477.77199,11797.800089999999,10740.869,14891.01074,7678.43832,8310.61942,21172.0,16612.0,-739.096,7506.34,104.8860000000002,13198.354453,17475.6293867,14138.171199999997,13607.5646792,13541.136069199998,13020.83696,8274.019887999999,7979.2690352,10770.1363452,15135.930178,13513.164126799998,11485.159441200001,7994.655516000001,9880.1528236,21366.49,12183.064803199999,23870.597494,9161.379112999999,9205.7572989,20352.298098,20372.752878,15666.153931,19541.200991,17474.947736000002,15156.829139000001,15574.605459,10375.4861984,12255.474378,23588.09315,13827.6776532,15103.658249999999,25863.88115,15133.437109999999,6742.6647963,7940.8930169,3920.1884033,5490.575097700001,17765.561424,18200.688576,14146.493752999999,9607.5996094,17272.807326,9115.953663,10974.5916494,12252.861964500002,10892.1409167,9011.0043939,12376.4068,22170.3621,24727.386,6734.3328,15593.364,461.7484000000002,19380.0,15369.100000000002,26829.0,13931.73178,20354.1386,20639.05734,17163.2715,26988.12204,14779.298139999999,23781.11498,21372.05972,1673.92148,13784.66048,5899.30402,7388.8488,13197.089520000001,9357.321,16439.92984,22493.92386,19600.27104,8373.157028900001,10322.252516600001,10635.5436536,16861.33928,9531.627678
2038,8335.18294,10394.95466,10606.26406,9425.606899999999,14911.021060000001,7185.84078,7791.06768,19648.4,15129.0,-2103.674,6077.26,-780.8859999999997,12325.530302,14829.007404799999,11061.420319999997,11775.3569488,11647.4405938,12029.65335,7039.6966219999995,6525.5497928,9783.1980478,14250.449872000001,12137.0831052,9915.0142668,6966.473754,8724.7506184,20547.56,11271.5304208,21425.086776,8220.950492,8264.8554316,19424.001122,19415.626712,14666.513634,18589.622654,16627.917104,13945.929226,14396.088656,9541.4394196,11024.878502000001,22404.84135,11534.2569148,13059.633375,23780.9636,14150.85293,6223.7226572,7426.2556636,3829.2951172000003,4993.5679688,17047.860936,17480.051174,13325.549222,8760.9365236,16524.901174,8200.129101999999,9348.5277336,10719.429298000001,9255.5910148,7383.2949216,10971.5102,19274.4848,22379.474000000002,5165.1651999999995,14348.565999999999,-538.0853999999999,18390.0,13120.400000000001,25266.0,12641.31722,19408.2776,19475.31866,15686.6425,24261.94606,13406.21116,21573.81352,19527.36218,389.38382,12734.75172,4770.8416799999995,6713.9134,12019.66608,8350.532,15386.63846,21460.03424,18505.47856,8060.7496816,9976.8297404,10227.733295400001,16367.29246,8857.293402
2039,6891.48602,9312.13733,9414.72803,8110.3448,14931.03138,6693.24324,7271.51594,18124.800000000003,13646.0,-3468.252,4648.18,-1666.6579999999997,11452.706150999998,12182.385422899999,7984.669439999998,9943.1492184,9753.7451184,11038.46974,5805.373356,5071.8305504,8796.2597504,13364.969566,10761.0020836,8344.8690924,5938.2919919999995,7569.348413199999,19728.63,10359.996038399999,18979.576058,7280.521871000001,7323.953564300002,18495.704146,18458.500546000003,13666.873337,17638.044317,15780.886472,12735.029313,13217.571853,8707.3926408,9794.282626,21221.589549999997,9240.8361764,11015.608499999998,21698.046049999997,13168.26875,5704.7805181,6911.6183103,3738.4018311,4496.5608399,16330.160447999999,16759.413772,12504.604691,7914.2734378,15776.995022,7284.3045409999995,7722.4638178000005,9185.9966315,7619.0411129,5755.585449299999,9566.6136,16378.6075,20031.562,3595.9975999999997,13103.768,-1537.9191999999998,17400.0,10871.7,23703.0,11350.90266,18462.4166,18311.579980000002,14210.013500000001,21535.77008,12033.12418,19366.51206,17682.66464,-895.15384,11684.84296,3642.3793399999995,6038.978,10842.24264,7343.743,14333.34708,20426.14462,17410.68608,7748.3423343,9631.4069642,9819.9229372,15873.24564,8182.959126
2040,5447.7891,8229.32,8223.192,6795.0827,14951.0417,6200.6457,6751.9642,16601.2,12163.0,-4832.83,3219.1,-2552.43,10579.882,9535.763441,4907.91856,8110.9414879999995,7860.049643,10047.28613,4571.05009,3618.111308,7809.3214530000005,12479.48926,9384.921062000001,6774.723918000001,4910.110229999999,6413.946207999999,18909.7,9448.461656,16534.06534,6340.09325,6383.051697,17567.40717,17501.37438,12667.233040000001,16686.46598,14933.85584,11524.1294,12039.05505,7873.345862,8563.68675,20038.33775,6947.415437999999,8971.583625,19615.1285,12185.68457,5185.838379,6396.980957,3647.508545,3999.553711,15612.45996,16038.77637,11683.66016,7067.610352,15029.08887,6368.47998,6096.399902,7652.563965,5982.491211,4127.875977000001,8161.717,13482.7302,17683.65,2026.83,11858.97,-2537.7529999999997,16410.0,8623.0,22140.0,10060.4881,17516.5556,17147.8413,12733.3845,18809.5941,10660.0372,17159.2106,15837.9671,-2179.6915,10634.9342,2513.917,5364.0426,9664.8192,6336.954000000001,13280.0557,19392.255,16315.8936,7435.934987000001,9285.984188,9412.112579,15379.19882,7508.62485
2041,4249.4938600000005,7585.84977,7440.796549999999,5380.17986,13934.969799999999,5741.98998,6284.8436,15255.902,10918.654,-5599.582,2409.5238,-2891.774,9848.1646705,7836.9682729,3517.505978,6892.098026799999,6759.0501718000005,8839.812514000001,4223.364107599999,3433.977458,6935.3210988,11266.2486102,8131.365967400001,5699.4641828,4062.2806309199996,5869.355212699999,17845.53,8779.9460065,15514.885851300001,5653.77033046,5695.56414124,16766.832234399997,16666.8308574,11960.4078891,15896.3206878,13803.4667531,10749.608661799999,11108.9334927,7359.5750486,7563.119525000001,18842.1887,6015.2191004,8118.6067126,18373.380149999997,11226.009863,4718.5987793799995,5893.5363159,3387.519397,3588.44983602,14902.8591788,15300.184572799999,11273.8084506,6819.3626957,14347.0032252,6157.5335445,5027.4951169,6751.075171,4917.4782715,3051.2361820000006,7022.333,11105.2256,15661.530400000001,1144.2556,10740.7688,-2856.1323999999995,15145.1,7035.7,20051.4,8972.235120000001,16513.75204,15888.13842,11465.14228,16179.91534,9419.119180000002,14954.294579999998,14047.10642,-2741.38582,9634.54652,1786.41636,4767.92194,8620.9562,5484.673280000001,12345.00892,18231.849260000003,15348.1791,7002.335186200001,8776.641962400001,9008.778306600001,14840.766312,6852.92283
2042,3051.19862,6942.37954,6658.401099999999,3965.27702,12918.8979,5283.33426,5817.723,13910.604,9674.308,-6366.334,1599.9476,-3231.1179999999995,9116.447341,6138.173104799999,2127.093396,5673.2545656,5658.050700600001,7632.338898,3875.6781252,3249.8436079999997,6061.3207446,10053.0079604,6877.810872800001,4624.204447600001,3214.4510318399994,5324.764217399999,16781.36,8111.430356999999,14495.706362600002,4967.44741092,5008.076585479999,15966.2572988,15832.287334800001,11253.5827382,15106.175395600001,12673.077666199999,9975.0879236,10178.811935400001,6845.8042352,6562.5523,17646.03965,5083.022762799999,7265.629800199999,17131.6318,10266.335156,4251.35917976,5390.0916748,3127.5302490000004,3177.34596104,14193.2583976,14561.5927756,10863.9567412,6571.1150394,13664.917580399999,5946.587109,3958.5903318,5849.586377,3852.4653319999998,1974.5963870000005,5882.949,8727.721000000001,13639.410800000001,261.6812000000002,9622.567599999998,-3174.5117999999998,13880.2,5448.4,17962.8,7883.98214,15510.94848,14628.43554,10196.90006,13550.236579999999,8178.2011600000005,12749.37856,12256.245739999998,-3303.08014,8634.15884,1058.91572,4171.80128,7577.0932,4632.39256,11409.96214,17071.44352,14380.4646,6568.7353854,8267.2997368,8605.4440342,14302.333804,6197.22081
