2010,38148.9465,35782.6485,38205.4102,33910.33,37824.4259,33899.2827,34477.4844,36978.6,36978.6,36978.6,36978.6,36978.6,35775.488110000006,35775.47108,35775.47632,35549.21062,35234.371419999996,35767.09082,35766.0739,35766.7041,35810.0918,35771.835289999995,35771.835289999995,35797.50554,35828.36426,35488.82878,41734.3,40078.43138,40079.04787,40094.78829,40094.78829,40094.78829,40094.78829,40094.78829,40094.78829,40265.62802,40313.50203,38542.01816,38542.037319999996,34853.41138,34853.41138,34853.41138,34853.41138,34853.41138,33410.28906,34045.15625,34045.15625,34045.15234,34045.15625,34045.15625,34045.15625,34045.15625,34045.15625,34045.15625,34045.15625,37423.04297,37423.04297,37423.04297,37423.04297,38842.928,38842.928,38842.928,40127.0952,40127.0952,40127.0952,36250.0,37010.0,36370.0,36445.8913,35830.9362,35851.3548,35843.5008,37410.5079,37217.68,37077.8112,37077.8112,37396.0454,38691.4368,38520.6718,38676.3616,38662.13,38696.4249,38683.6868,38655.6099,38689.4814,35303.387760000005,35303.387760000005,34057.08892,35674.1208,35674.1208
2011,38773.178459999996,35927.77263,38718.67675,34343.716140000004,38397.31442,34365.15898,35023.18664,37555.659999999996,37555.659999999996,37555.659999999996,37555.659999999996,37555.659999999996,35966.37216700001,36331.685947000005,36395.527767,35880.120839999996,35713.645573999995,36302.401238,36305.944016,36223.199804,36316.628194000004,36309.460289999995,36303.776955999994,36271.468756,36191.568362,35260.82585,41506.07,40120.142965,40121.076663,40189.050294999994,40189.050294999994,40189.050294999994,40189.050294999994,40189.050294999994,40189.050294999994,40048.451486,40375.284001,38649.338599,38644.184691999995,35448.738529999995,35448.735329999996,35448.735329999996,35448.735329999996,35448.735329999996,33893.116404,34491.74375,34491.98125,34484.100387,34490.366406,34491.711719,34491.949219,34491.949219,34491.949219,34490.334766,34490.334766,37223.352345,37237.039845,37227.598829,37125.866017,39659.81664,39659.81664,39659.81664,41184.91204,41184.91204,41184.91204,36145.0,37540.0,36703.0,37241.735100000005,36729.21084,36756.88446,36748.04262,38346.27278,38106.9965,37895.377759999996,37896.50964,38346.83542,39608.09636,39556.66712,39603.43904,39557.90116,39780.7949,39735.556580000004,39569.4317,39788.495339999994,35504.279695000005,35698.349133,34377.624836,36101.498132,36101.498132
2012,39397.41042,36072.89676,39231.9433,34777.10228,38970.20294,34831.035260000004,35568.88888,38132.72,38132.72,38132.72,38132.72,38132.72,36157.256224000004,36887.900814,37015.579214,36211.03106,36192.91972799999,36837.711656,36845.814132,36679.695508000004,36823.164588,36847.085289999995,36835.71862199999,36745.431972,36554.772464,35032.822920000006,41277.840000000004,40161.854550000004,40163.105456000005,40283.3123,40283.3123,40283.3123,40283.3123,40283.3123,40283.3123,39831.274952,40437.065972000004,38756.659038,38746.332063999995,36044.06568,36044.05928,36044.05928,36044.05928,36044.05928,34375.943748,34938.33125,34938.80625,34923.048434000004,34935.576562,34938.267188,34938.742188,34938.742188,34938.742188,34935.513282,34935.513282,37023.661720000004,37051.036720000004,37032.154688,36828.689064,40476.70528,40476.70528,40476.70528,42242.72888,42242.72888,42242.72888,36040.0,38070.0,37036.0,38037.5789,37627.485479999996,37662.41412,37652.58444,39282.03766,38996.313,38712.944319999995,38715.20808,39297.62544,40524.75592,40592.66244,40530.51648,40453.67232,40865.164899999996,40787.426360000005,40483.2535,40887.50928,35705.171630000004,36093.310506,34698.160752,36528.875464,36528.875464
2013,40021.64238,36218.02089,39745.20985,35210.48842,39543.091459999996,35296.91154,36114.591120000005,38709.78,38709.78,38709.78,38709.78,38709.78,36348.140281,37444.115681,37635.630661,36541.94128,36672.193882,37373.022074,37385.684248000005,37136.191212,37329.700982,37384.710289999995,37367.660288,37219.395188,36917.976566,34804.81999,41049.61,40203.566135,40205.134249,40377.574304999995,40377.574304999995,40377.574304999995,40377.574304999995,40377.574304999995,40377.574304999995,39614.098417999994,40498.847943,38863.979477,38848.479435999994,36639.39283,36639.38323,36639.38323,36639.38323,36639.38323,34858.771092,35384.91875,35385.63125,35361.996481,35380.786718,35384.822657,35385.535157,35385.535157,35385.535157,35380.691798,35380.691798,36823.971095,36865.033595,36836.710547,36531.512111000004,41293.59392,41293.59392,41293.59392,43300.54572,43300.54572,43300.54572,35935.0,38600.0,37369.0,38833.4227,38525.76012,38567.94378,38557.126260000005,40217.80254,39885.629499999995,39530.51088,39533.90652,40248.41546,41441.41548,41628.657759999995,41457.59392,41349.44348,41949.5349,41839.29614,41397.075300000004,41986.523219999995,35906.063565000004,36488.271879,35018.696668,36956.252796,36956.252796
2014,40645.87434,36363.14502,40258.4764,35643.87456,40115.97998,35762.787820000005,36660.29336,39286.840000000004,39286.840000000004,39286.840000000004,39286.840000000004,39286.840000000004,36539.024338,38000.330548,38255.682108,36872.851500000004,37151.468036,37908.332492,37925.554364,37592.686916,37836.237376,37922.335289999995,37899.601954,37693.358404,37281.180668,34576.81706,40821.380000000005,40245.277720000006,40247.163042,40471.83631,40471.83631,40471.83631,40471.83631,40471.83631,40471.83631,39396.921883999996,40560.629914000005,38971.299915999996,38950.62680799999,37234.71998,37234.707180000005,37234.707180000005,37234.707180000005,37234.707180000005,35341.598436,35831.50625,35832.45625,35800.944528,35825.996874000004,35831.378125999996,35832.328126,35832.328126,35832.328126,35825.870314,35825.870314,36624.280470000005,36679.030470000005,36641.266406,36234.335158,42110.482560000004,42110.482560000004,42110.482560000004,44358.36256,44358.36256,44358.36256,35830.0,39130.0,37702.0,39629.2665,39424.034759999995,39473.47344,39461.66808,41153.56742,40774.945999999996,40348.07744,40352.60496,41199.20548,42358.07504,42664.65308,42384.67136,42245.21464,43033.904899999994,42891.16592,42310.8971,43085.53716,36106.955500000004,36883.233252,35339.232584,37383.630128,37383.630128
2015,41270.1063,36508.26915,40771.74295,36077.2607,40688.8685,36228.6641,37205.9956,39863.9,39863.9,39863.9,39863.9,39863.9,36729.908395000006,38556.545415,38875.733555,37203.76172,37630.74219,38443.64291,38465.42448,38049.18262,38342.77377,38459.960289999995,38431.54362,38167.32162,37644.38477,34348.81413,40593.15,40286.989305,40289.191835000005,40566.098314999996,40566.098314999996,40566.098314999996,40566.098314999996,40566.098314999996,40566.098314999996,39179.74535,40622.411885,39078.620355,39052.77417999999,37830.04713,37830.03113,37830.03113,37830.03113,37830.03113,35824.42578,36278.09375,36279.28125,36239.892575000005,36271.207030000005,36277.933594999995,36279.121094999995,36279.121094999995,36279.121094999995,36271.04883,36271.04883,36424.589845,36493.027345,36445.822265,35937.158205,42927.3712,42927.3712,42927.3712,45416.1794,45416.1794,45416.1794,35725.0,39660.0,38035.0,40425.1103,40322.3094,40379.0031,40366.2099,42089.3323,41664.2625,41165.644,41171.3034,42149.9955,43274.7346,43700.6484,43311.7488,43140.9858,44118.2749,43943.0357,43224.7189,44184.5511,36307.847435,37278.194625000004,35659.7685,37811.00746,37811.00746
2016,41797.5951,36653.39328,41285.0095,36598.36128,41298.363639999996,36782.01692,37830.16098,39766.42,39726.32,39702.92,39730.08,39720.04,36920.792452,39112.760282,39495.785002,37450.975262,37773.874678,37880.215176,37866.17728,37349.952152,37496.292258,37853.663349999995,37792.193686,37460.396164,36953.330537999995,34120.811200000004,40364.92,40328.70089,40331.220628,40660.36031999999,40660.36031999999,40660.36031999999,40660.36031999999,40660.36031999999,40660.36031999999,38962.568816,40684.193856,39185.940794,39154.921552,38630.36188,38630.30578,38630.30578,38630.30578,38630.30578,36369.939842,36724.68125,36726.10625,36678.840622,36716.417186,36724.489064,36725.914064,36725.914064,36725.914064,36716.227346,36716.227346,36224.89922,36307.02422,36250.378124,35639.981252,43376.27352,43376.27352,43376.27352,45515.37258,45515.37258,45515.37258,35620.0,40190.0,38368.0,40711.3038,41122.71178,41184.37348,41148.132300000005,42642.62362,41868.5236,41540.23942,41490.317259999996,42258.51252,41983.0118,41524.45284,40871.8119,41943.72576,42726.471079999996,42406.26172,42555.48646,43449.75934,36508.73937,37673.155998,35988.480663999995,38380.111276,38380.111276
2017,42325.0839,36798.51741,41798.27605,37119.461859999996,41907.858779999995,37335.36974,38454.32636,39668.94,39588.74,39541.94,39596.26,39576.18,37111.676509,39668.975149,40115.836448999995,37698.188804,37917.007166,37316.787442,37266.930080000006,36650.721684,36649.810746,37247.366409999995,37152.843752,36753.470708,36262.276306,33892.80827,40136.69,40370.412475000005,40373.249421,40754.622325,40754.622325,40754.622325,40754.622325,40754.622325,40754.622325,38745.392282,40745.975827,39293.261233,39257.068924,39430.67663,39430.58043,39430.58043,39430.58043,39430.58043,36915.453904,37171.26875,37172.93125,37117.788669,37161.627342,37171.044533,37172.707033,37172.707033,37172.707033,37161.405862,37161.405862,36025.208595000004,36121.021095000004,36054.933983,35342.804298999996,43825.17584,43825.17584,43825.17584,45614.56576,45614.56576,45614.56576,35515.0,40720.0,38701.0,40997.4973,41923.11416,41989.74386,41930.0547,43195.91494,42072.7847,41914.834839999996,41809.331119999995,42367.029539999996,40691.289000000004,39348.25728,38431.875,40746.46572,41334.667259999995,40869.487740000004,41886.25402,42714.96758,36709.631305,38068.117371,36317.192828,38949.215092,38949.215092
2018,42852.572700000004,36943.64154,42311.5426,37640.56244,42517.35392,37888.72256,39078.491740000005,39571.46,39451.16,39380.96,39462.44,39432.32,37302.560566,40225.190016,40735.887896,37945.402346,38060.139654,36753.359707999996,36667.68288,35951.491216,35803.329234,36641.069469999995,36513.493817999995,36046.545251999996,35571.222074,33664.80534,39908.46,40412.12406,40415.278214,40848.88432999999,40848.88432999999,40848.88432999999,40848.88432999999,40848.88432999999,40848.88432999999,38528.215747999995,40807.757798,39400.581672,39359.216296,40230.99138,40230.85508,40230.85508,40230.85508,40230.85508,37460.967966,37617.85625,37619.75625,37556.736716,37606.837498,37617.600002,37619.500002,37619.500002,37619.500002,37606.584378,37606.584378,35825.51797,35935.01797,35859.489842,35045.627346,44274.07816,44274.07816,44274.07816,45713.75894,45713.75894,45713.75894,35410.0,41250.0,39034.0,41283.6908,42723.516540000004,42795.11424,42711.977100000004,43749.20626,42277.0458,42289.43026,42128.34498,42475.54656,39399.5662,37172.06172,35991.9381,39549.20568,39942.86344,39332.71376,41217.02158,41980.17582,36910.52324,38463.078744,36645.904991999996,39518.318908,39518.318908
2019,43380.0615,37088.76567,42824.80915,38161.66302,43126.84906,38442.07538,39702.65712,39473.98,39313.58,39219.98,39328.62,39288.46,37493.444623,40781.404882999996,41355.939343,38192.615888,38203.272142,36189.931974,36068.43568,35252.260748,34956.847722,36034.772529999995,35874.143884,35339.619796,34880.167842,33436.802410000004,39680.23,40453.83564500001,40457.307007,40943.146335,40943.146335,40943.146335,40943.146335,40943.146335,40943.146335,38311.039214,40869.539769,39507.902110999996,39461.363668,41031.306130000004,41031.12973,41031.12973,41031.12973,41031.12973,38006.482028,38064.44375,38066.58125,37995.684763000005,38052.047654,38064.155471,38066.292970999995,38066.292970999995,38066.292970999995,38051.762894,38051.762894,35625.827345000005,35749.014845000005,35664.045701,34748.450393,44722.98048,44722.98048,44722.98048,45812.952119999994,45812.952119999994,45812.952119999994,35305.0,41780.0,39367.0,41569.8843,43523.918920000004,43600.48462,43493.8995,44302.49758,42481.306899999996,42664.02568,42447.35884,42584.06358,38107.843400000005,34995.86616,33552.0012,38351.94564,38551.05962,37795.93978,40547.78914,41245.38406,37111.415175,38858.040117,36974.617156,40087.422724,40087.422724
